x_values,y_values,log_result,computation_time
"[9.423162  8.84163   7.558264  7.4762535 6.939151  5.2202435 4.3368053
 3.7399783]","[9.88102   9.571365  5.6479044 4.9388657 4.9000134 4.862942  1.3304288
 1.1993761]",296.80609130859375,4.147231578826904
"[9.832201  8.728134  8.551066  8.3966    7.322977  1.4803182 1.3649725
 1.0379114]","[8.528236  7.70211   7.514076  6.603613  6.3737907 4.789499  4.366319
 1.0202925]",299.2289123535156,3.2462477684020996
"[8.907419  8.074102  7.841566  7.7306676 6.4383936 5.229539  4.3030634
 1.6511256]","[8.912063  8.123475  7.9149942 6.0328884 6.003044  4.1056795 2.7381573
 1.2517661]",296.2635803222656,4.205581426620483
"[8.725082  8.013651  7.832229  7.234932  5.7198896 2.9691792 1.4121643
 1.3543091]","[9.704645  8.78069   8.539847  7.554773  5.74782   5.1269617 4.0211854
 1.5122   ]",296.2231140136719,2.7334930896759033
"[8.033264  7.7036858 6.9377446 2.702487  1.7964734 1.5583855 1.2563784
 1.0715528]","[8.62173   6.4655848 5.972248  5.2272463 3.140053  2.3143373 1.7343094
 1.368528 ]",155.56536865234375,3.3906476497650146
"[9.417108  9.214154  7.5709667 6.998324  6.47204   4.637006  3.0956764
 2.8687496]","[9.441596  8.228726  7.7813644 6.535694  5.194709  2.8444457 2.4100018
 1.8833115]",294.2280578613281,4.161365270614624
"[8.942646  8.034274  5.591572  5.434968  5.249854  5.0123067 3.8466241
 1.6958702]","[9.435035  6.7600727 6.512181  6.0830984 2.5531578 1.9144369 1.9010012
 1.3527652]",213.7539520263672,4.2420220375061035
"[9.711458  9.517983  7.7632556 6.158788  5.0031123 4.8536882 4.8147707
 1.6890413]","[9.751022  8.778265  7.3466816 3.9834876 3.6773124 2.2220693 2.1867745
 1.6572839]",267.0509033203125,2.4995927810668945
"[6.325573  5.9636593 5.484318  4.5294824 3.7605991 3.735982  3.4072719
 3.387742 ]","[9.740137  7.659793  7.2432394 3.352808  2.6232622 1.9810458 1.3991438
 1.1125112]",166.92698669433594,3.820127248764038
"[7.6513224 6.5094357 4.9417615 4.638096  4.5482183 4.171734  3.2729468
 1.1481684]","[8.4374075 7.811903  4.74098   4.0123396 3.718422  3.2369075 2.745807
 1.0439636]",172.90658569335938,2.2389626502990723
"[7.704955  6.4420037 5.020645  4.882504  2.988782  2.1153162 1.8648826
 1.1694148]","[5.794881  5.5625286 5.053646  4.8190236 3.3732271 2.685542  1.545307
 1.1634474]",127.06535339355469,3.5942928791046143
"[9.428926  9.302469  6.6853285 5.825556  4.323754  3.4060338 1.9510759
 1.3200948]","[9.6256895 8.6215315 7.538847  7.432483  5.954847  4.5185585 4.048278
 3.55611  ]",285.7223815917969,2.9376888275146484
"[8.041443  7.97531   7.391802  5.860368  5.4320154 1.864108  1.4849584
 1.1109791]","[9.751861  6.95518   6.6316338 6.4304314 4.1456175 3.8852587 3.2338734
 3.1505158]",229.79798889160156,2.408231496810913
