x_values,y_values,log_result,computation_time
"[9.000966  8.787161  6.3695097 4.938106  4.3616085 2.28906   2.2527685
 1.4111161]","[7.5553102 6.4123425 4.019425  3.7528026 3.6877913 3.628316  3.4315813
 2.580761 ]",181.5859375,0.00021123886108398438
"[6.2912807 6.1539044 4.420811  4.2522244 2.8625507 2.5902603 1.9862053
 1.3004053]","[9.566639  9.326497  9.134048  8.804819  4.018527  3.1551752 2.5109463
 2.0184798]",193.51576232910156,0.00022602081298828125
"[8.927115  6.8434863 5.334405  4.69227   3.191884  1.7080721 1.6221781
 1.012631 ]","[9.630341  9.025554  7.5783834 6.5433974 5.1830893 2.867047  2.7181265
 1.6423837]",209.1789093017578,0.00020360946655273438
"[8.58823   7.7906733 7.569232  6.303164  4.9803157 4.485799  3.3531418
 1.9373537]","[8.957606  8.702066  8.157878  5.560048  5.112364  4.6357117 2.1963844
 1.9156611]",267.2781677246094,0.0003159046173095703
"[9.535741  8.565411  6.5359163 6.0339117 5.989027  2.4600434 1.6609682
 1.2917439]","[9.284418  8.430229  7.575865  6.6001296 6.3578725 5.906241  4.9985375
 4.402096 ]",290.8695068359375,0.00019931793212890625
"[9.757288  8.827984  8.6982155 8.455113  8.43799   7.921701  7.8791904
 2.1202073]","[9.02171   8.330874  7.1208715 5.248541  3.9823782 2.743926  2.4982982
 2.204328 ]",329.2256164550781,0.00023031234741210938
"[9.403919  8.314666  7.8099003 6.807506  5.9268026 5.1217623 4.134481
 3.8698916]","[9.987363  9.8082905 9.387322  8.972205  8.0468645 2.611127  2.20502
 2.0075   ]",357.72650146484375,0.0003364086151123047
[9.94478  9.414752 8.709708 8.32246  6.797687 5.229412 5.206829 3.378655],"[8.7471895 7.765768  7.524169  7.0723376 6.890985  3.0073223 1.7739385
 1.6866359]",331.6877746582031,0.0001976490020751953
"[9.859798  9.1657715 6.7937818 6.285441  5.840164  5.758169  4.0854053
 1.059383 ]","[5.7713947 5.1155095 3.6617374 3.0742626 1.7448409 1.6823872 1.3976192
 1.2814785]",152.70672607421875,0.00021457672119140625
"[9.710816  9.583075  9.163452  8.145777  7.7539825 4.144348  3.7668939
 2.2703156]","[8.981464  8.639401  8.202045  7.2131515 6.62251   3.7543206 3.6353283
 2.4756021]",354.1934509277344,0.00019884109497070312
"[8.551399  8.472553  7.807164  5.889406  3.1654105 2.7851002 1.9273212
 1.8792485]","[8.318286  7.08593   6.402108  6.200282  4.63987   2.032525  1.9377207
 1.6713591]",211.65496826171875,0.0001914501190185547
"[6.216172  5.198965  4.9678016 4.175228  3.5938969 3.5035803 2.5644693
 1.7074713]","[9.721696  8.419997  7.0741477 5.1643453 3.1069353 2.1363983 2.0683656
 1.7957234]",164.7113037109375,0.0001895427703857422
"[9.711456  7.5585737 6.989455  5.5050974 4.143531  2.916773  2.1982899
 1.8540797]","[8.525249  7.352299  7.2671156 6.599699  6.352392  4.622995  4.1186237
 2.7918444]",253.14430236816406,0.00021529197692871094
"[8.4219055 8.419403  7.6468334 5.3830833 4.353556  3.647408  3.5326052
 2.795051 ]","[8.899301  8.492434  7.3519216 7.1046185 6.497315  4.038973  3.0571694
 1.9505888]",272.86767578125,0.00018715858459472656
"[9.749573  7.255665  6.6940756 6.5732803 4.172589  3.1626534 2.9774928
 2.742526 ]","[8.587346  8.502288  8.38883   7.4310265 5.1226497 4.917069  4.665306
 4.1433783]",288.3572082519531,0.00021219253540039062
"[9.812885  9.555725  8.298356  7.2597747 6.5319724 5.5041575 3.7977328
 1.5104501]","[9.177181  9.011781  7.7620893 7.620019  7.160637  6.940078  2.1547918
 1.0677977]",354.0762634277344,0.0002257823944091797
